category,count,ratio_to_head
cloister/indoor,327,0.07128842380640942
biology_laboratory,323,0.07041639415740135
schoolhouse,321,0.06998037933289732
industrial_area,318,0.06932635709614127
thriftshop,318,0.06932635709614127
viaduct,317,0.06910834968388925
office,312,0.06801831262262917
observatory/outdoor,311,0.06780030521037715
martial_arts_gym,307,0.06692827556136909
picnic_area,306,0.06671026814911707
garbage_dump,305,0.06649226073686505
cubicle/office,303,0.06605624591236102
abbey,299,0.06518421626335295
boathouse,298,0.06496620885110094
podium/indoor,296,0.0645301940265969
restaurant,293,0.06387617178984085
gas_station,291,0.06344015696533682
building_facade,286,0.06235011990407674
parking_garage/indoor,281,0.06126008284281666
stadium/football,281,0.06126008284281666
dining_car,281,0.06126008284281666
subway_station/platform,280,0.06104207543056464
plaza,280,0.06104207543056464
canal/natural,278,0.06060606060606061
bedroom,278,0.06060606060606061
corridor,276,0.060170045781556575
track/outdoor,269,0.05864399389579246
castle,269,0.05864399389579246
outhouse/outdoor,267,0.058207979071288427
village,262,0.057117942010028344
hunting_lodge/outdoor,258,0.05624591236102027
corn_field,253,0.05515587529976019
bus_interior,252,0.05493786788750817
kitchen,248,0.05406583823850011
assembly_line,244,0.05319380858949204
television_studio,244,0.05319380858949204
valley,240,0.052321778940483975
runway,239,0.05210377152823196
office_building,239,0.05210377152823196
bamboo_forest,237,0.051667756703727925
dinette/home,237,0.051667756703727925
fairway,232,0.05057771964246784
church/indoor,232,0.05057771964246784
rock_arch,229,0.049923697405711794
museum/indoor,228,0.04970568999345978
bakery/shop,225,0.04905166775670373
van_interior,223,0.048615652932199695
kitchenette,223,0.048615652932199695
car_interior/backseat,222,0.04839764551994768
garage/indoor,220,0.047961630695443645
laundromat,217,0.047307608458687596
tree_farm,217,0.047307608458687596
dam,216,0.04708960104643558
house,216,0.04708960104643558
cathedral/outdoor,213,0.04643557880967953
bullring,211,0.0459995639851755
pub/indoor,211,0.0459995639851755
temple/south_asia,210,0.04578155657292348
fire_station,210,0.04578155657292348
podium/outdoor,209,0.045563549160671464
power_plant/outdoor,208,0.04534554174841945
motel,208,0.04534554174841945
apse/indoor,206,0.044909526923915415
labyrinth/outdoor,206,0.044909526923915415
canyon,205,0.0446915195116634
rice_paddy,205,0.0446915195116634
apartment_building/outdoor,204,0.04447351209941138
vineyard,203,0.044255504687159365
wine_cellar/barrel_storage,202,0.04403749727490735
market/outdoor,202,0.04403749727490735
ballroom,199,0.0433834750381513
heliport,199,0.0433834750381513
baseball_field,196,0.04272945280139525
basement,193,0.0420754305646392
hotel_room,192,0.041857423152387184
palace,191,0.04163941574013517
airplane_cabin,191,0.04163941574013517
drugstore,190,0.04142140832788315
cathedral/indoor,185,0.04033137126662307
residential_neighborhood,182,0.03967734902986701
wind_farm,180,0.03924133420536298
landing_deck,179,0.03902332679311096
control_tower/outdoor,178,0.038805319380858946
shed,172,0.03749727490734685
moat/water,171,0.03727926749509483
mansion,171,0.03727926749509483
badlands,167,0.036407237846086765
subway_interior,166,0.03618923043383475
basketball_court/outdoor,163,0.0355352081970787
train_station/platform,161,0.035099193372574666
butchers_shop,160,0.03488118596032265
chicken_coop/outdoor,158,0.03444517113581862
diner/outdoor,155,0.03379114889906257
chalet,154,0.03357314148681055
oil_refinery/outdoor,152,0.03313712666230652
fastfood_restaurant,150,0.032701111837802485
racecourse,150,0.032701111837802485
ice_cream_parlor,146,0.03182908218879442
auto_factory,146,0.03182908218879442
covered_bridge/exterior,143,0.03117505995203837
cheese_factory,142,0.030957052539786353
temple/east_asia,142,0.030957052539786353
gazebo/exterior,142,0.030957052539786353
tent/outdoor,141,0.030739045127534337
volleyball_court/outdoor,139,0.030303030303030304
restaurant_kitchen,139,0.030303030303030304
boxing_ring,138,0.030085022890778287
bazaar/outdoor,138,0.030085022890778287
balcony/exterior,136,0.029649008066274254
oast_house,130,0.028340963592762156
baggage_claim,130,0.028340963592762156
synagogue/outdoor,128,0.02790494876825812
jail/indoor,127,0.027686941356006103
veranda,126,0.027468933943754086
general_store/outdoor,126,0.027468933943754086
movie_theater/indoor,124,0.027032919119250053
amusement_arcade,123,0.026814911706998037
ice_skating_rink/indoor,121,0.026378896882494004
hotel/outdoor,120,0.026160889470241987
aqueduct,120,0.026160889470241987
excavation,118,0.025724874645737954
library/outdoor,117,0.025506867233485938
videostore,116,0.02528885982123392
cabin/outdoor,116,0.02528885982123392
bookstore,115,0.025070852408981905
campsite,115,0.025070852408981905
kindergarden_classroom,114,0.02485284499672989
sushi_bar,113,0.024634837584477872
courthouse,110,0.023980815347721823
dorm_room,109,0.023762807935469806
server_room,106,0.023108785698713757
supermarket,105,0.02289077828646174
basilica,104,0.022672770874209724
monastery/outdoor,104,0.022672770874209724
patio,104,0.022672770874209724
hot_tub/outdoor,104,0.022672770874209724
lobby,103,0.022454763461957707
synagogue/indoor,103,0.022454763461957707
squash_court,103,0.022454763461957707
arrival_gate/outdoor,96,0.020928711576193592
toll_plaza,96,0.020928711576193592
golf_course,96,0.020928711576193592
brewery/indoor,95,0.020710704163941576
inn/outdoor,94,0.02049269675168956
restaurant_patio,92,0.020056681927185523
parking_garage/outdoor,90,0.01962066710268149
putting_green,89,0.019402659690429473
living_room,89,0.019402659690429473
campus,87,0.01896664486592544
topiary_garden,86,0.018748637453673424
pavilion,85,0.018530630041421407
crevasse,84,0.01831262262916939
airport_terminal,83,0.018094615216917374
bowling_alley,83,0.018094615216917374
ski_resort,83,0.018094615216917374
gymnasium/indoor,81,0.01765860039241334
riding_arena,81,0.01765860039241334
market/indoor,79,0.01722258556790931
hangar/outdoor,78,0.017004578155657292
poolroom/home,76,0.01656856333115326
courtyard,76,0.01656856333115326
ice_skating_rink/outdoor,74,0.016132548506649226
general_store/indoor,74,0.016132548506649226
locker_room,72,0.015696533682145193
swimming_pool/indoor,71,0.015478526269893177
amphitheater,70,0.01526051885764116
hospital,70,0.01526051885764116
driving_range/outdoor,70,0.01526051885764116
mosque/outdoor,67,0.01460649662088511
shopping_mall/indoor,65,0.014170481796381078
control_room,64,0.01395247438412906
swimming_pool/outdoor,64,0.01395247438412906
utility_room,64,0.01395247438412906
stadium/baseball,63,0.013734466971877043
tennis_court/outdoor,63,0.013734466971877043
volleyball_court/indoor,60,0.013080444735120994
computer_room,60,0.013080444735120994
promenade_deck,59,0.012862437322868977
pilothouse/indoor,59,0.012862437322868977
mosque/indoor,59,0.012862437322868977
warehouse/indoor,58,0.01264442991061696
bistro/indoor,56,0.012208415086112928
badminton_court/indoor,56,0.012208415086112928
ice_shelf,55,0.011990407673860911
throne_room,52,0.011336385437104862
kasbah,52,0.011336385437104862
classroom,50,0.010900370612600829
formal_garden,48,0.010464355788096796
dining_room,48,0.010464355788096796
tennis_court/indoor,48,0.010464355788096796
nuclear_power_plant/outdoor,45,0.009810333551340745
manufactured_home,44,0.009592326139088728
poolroom/establishment,43,0.009374318726836712
operating_room,42,0.009156311314584695
theater/indoor_seats,40,0.008720296490080662
factory/indoor,39,0.008502289077828646
galley,37,0.008066274253324613
greenhouse/outdoor,34,0.007412252016568564
cafeteria,34,0.007412252016568564
banquet_hall,33,0.007194244604316547
wrestling_ring/indoor,33,0.007194244604316547
ski_lodge,30,0.006540222367560497
dinette/vehicle,28,0.006104207543056464
theater/indoor_procenium,27,0.005886200130804447
recreation_room,25,0.0054501853063004145
bazaar/indoor,22,0.004796163069544364
auditorium,17,0.003706126008284282
food_court,17,0.003706126008284282
lido_deck/outdoor,14,0.003052103771528232
conference_room,12,0.002616088947024199
courtroom,12,0.002616088947024199
conference_center,6,0.0013080444735120995
lecture_room,6,0.0013080444735120995
